resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId,date
22151,897,814,9,11.0,16,10.0,10,1.0,57,5664626.0,38.0,4.0,1,2014-03-16 06:00:00
22152,897,15,14,99.0,13,11.0,11,0.0,56,,34.0,9.0,11,2014-03-16 06:00:00
22153,897,820,14,21.0,20,12.0,12,0.0,56,,41.0,13.0,11,2014-03-16 06:00:00
22154,897,7,5,7.0,11,7.0,7,6.0,57,5636385.0,56.0,8.0,1,2014-03-16 06:00:00
22155,898,816,8,3.0,5,,16,0.0,49,,48.0,5.0,39,2014-03-30 08:00:00
22156,898,814,9,11.0,14,,22,0.0,0,,,0.0,54,2014-03-30 08:00:00
22157,898,812,205,13.0,16,,21,0.0,7,,6.0,20.0,5,2014-03-30 08:00:00
22158,898,823,203,17.0,19,,20,0.0,8,,4.0,21.0,23,2014-03-30 08:00:00
22159,898,817,4,25.0,9,,19,0.0,18,,4.0,19.0,131,2014-03-30 08:00:00
22160,898,15,14,99.0,17,,18,0.0,32,,27.0,17.0,10,2014-03-30 08:00:00
22161,898,820,14,21.0,12,,17,0.0,35,,27.0,16.0,6,2014-03-30 08:00:00
22162,898,819,203,4.0,21,15.0,15,0.0,54,,49.0,18.0,12,2014-03-30 08:00:00
22163,898,12,2,19.0,13,7.0,7,6.0,56,6111050.0,44.0,6.0,1,2014-03-30 08:00:00
22164,898,154,204,10.0,20,13.0,13,0.0,55,,53.0,15.0,11,2014-03-30 08:00:00
22165,898,17,0,22.0,10,6.0,6,8.0,56,6109665.0,47.0,11.0,1,2014-03-30 08:00:00
22166,898,807,9,27.0,7,5.0,5,10.0,56,6073173.0,38.0,10.0,1,2014-03-30 08:00:00
22167,898,3,5,14.0,4,4.0,4,12.0,56,6061966.0,47.0,3.0,1,2014-03-30 08:00:00
22168,898,19,8,1.0,2,3.0,3,15.0,56,6050508.0,51.0,4.0,1,2014-03-30 08:00:00
22169,898,2,129,6.0,3,2.0,2,18.0,56,6043287.0,55.0,2.0,1,2014-03-30 08:00:00
22170,898,827,204,9.0,22,14.0,14,0.0,54,,40.0,14.0,12,2014-03-30 08:00:00
22171,898,7,5,7.0,6,12.0,12,0.0,55,,36.0,7.0,11,2014-03-30 08:00:00
22172,898,153,205,8.0,15,11.0,11,0.0,55,,42.0,12.0,11,2014-03-30 08:00:00
22173,898,825,4,26.0,11,10.0,10,1.0,55,,36.0,13.0,11,2014-03-30 08:00:00
22174,898,824,0,20.0,8,9.0,9,2.0,55,,44.0,8.0,11,2014-03-30 08:00:00
22175,898,821,2,77.0,18,8.0,8,4.0,56,6111511.0,31.0,9.0,1,2014-03-30 08:00:00
22176,898,0,129,44.0,1,1.0,1,25.0,56,6025974.0,53.0,1.0,1,2014-03-30 08:00:00
22177,899,0,129,44.0,2,1.0,1,25.0,57,5982743.0,49.0,2.0,1,2014-04-06 15:00:00
22178,899,15,14,99.0,22,,22,0.0,17,,9.0,20.0,4,2014-04-06 15:00:00
22179,899,817,4,25.0,14,,21,0.0,18,,16.0,19.0,31,2014-04-06 15:00:00
22180,899,827,204,9.0,20,,20,0.0,33,,28.0,17.0,31,2014-04-06 15:00:00
22181,899,820,14,21.0,15,,19,0.0,39,,32.0,16.0,4,2014-04-06 15:00:00
22182,899,17,0,22.0,6,17.0,17,0.0,55,,37.0,10.0,8,2014-04-06 15:00:00
22183,899,823,203,17.0,19,16.0,16,0.0,56,,44.0,22.0,11,2014-04-06 15:00:00
22184,899,824,0,20.0,8,,18,0.0,40,,40.0,14.0,8,2014-04-06 15:00:00
22185,899,816,8,3.0,13,4.0,4,12.0,57,6007232.0,38.0,4.0,1,2014-04-06 15:00:00
22186,899,2,129,6.0,1,2.0,2,18.0,57,5983828.0,49.0,1.0,1,2014-04-06 15:00:00
22187,899,814,9,11.0,4,3.0,3,15.0,57,6006810.0,36.0,7.0,1,2014-04-06 15:00:00
22188,899,812,205,13.0,17,14.0,14,0.0,57,6045546.0,52.0,11.0,1,2014-04-06 15:00:00
22189,899,807,9,27.0,11,5.0,5,10.0,57,6011397.0,37.0,3.0,1,2014-04-06 15:00:00
22190,899,19,8,1.0,10,6.0,6,8.0,57,6012622.0,18.0,6.0,1,2014-04-06 15:00:00
22191,899,12,2,19.0,7,7.0,7,6.0,57,6014008.0,40.0,5.0,1,2014-04-06 15:00:00
22192,899,154,204,10.0,18,15.0,15,0.0,57,6070643.0,17.0,18.0,1,2014-04-06 15:00:00
22193,899,3,5,14.0,9,9.0,9,2.0,57,6015338.0,53.0,12.0,1,2014-04-06 15:00:00
22194,899,7,5,7.0,5,10.0,10,1.0,57,6016205.0,35.0,8.0,1,2014-04-06 15:00:00
22195,899,825,4,26.0,12,11.0,11,0.0,57,6024085.0,12.0,15.0,1,2014-04-06 15:00:00
22196,899,153,205,8.0,16,12.0,12,0.0,57,6025886.0,39.0,9.0,1,2014-04-06 15:00:00
22197,899,819,203,4.0,21,13.0,13,0.0,57,6042652.0,48.0,21.0,1,2014-04-06 15:00:00
22198,899,821,2,77.0,3,8.0,8,4.0,57,6014619.0,50.0,13.0,1,2014-04-06 15:00:00
22199,900,15,14,99.0,14,,22,0.0,5,,2.0,22.0,5,2014-04-20 07:00:00
22200,900,153,205,8.0,10,,21,0.0,28,,4.0,20.0,6,2014-04-20 07:00:00
22201,900,827,204,9.0,20,20.0,20,0.0,52,,30.0,19.0,12,2014-04-20 07:00:00
22202,900,819,203,4.0,21,19.0,19,0.0,52,,50.0,13.0,12,2014-04-20 07:00:00
22203,900,154,204,10.0,18,18.0,18,0.0,53,,48.0,16.0,11,2014-04-20 07:00:00
22204,900,823,203,17.0,19,17.0,17,0.0,53,,36.0,21.0,11,2014-04-20 07:00:00
22205,900,820,14,21.0,17,16.0,16,0.0,53,,42.0,7.0,11,2014-04-20 07:00:00
22206,900,12,2,19.0,6,15.0,15,0.0,53,,34.0,9.0,11,2014-04-20 07:00:00
22207,900,812,205,13.0,22,14.0,14,0.0,53,,34.0,15.0,11,2014-04-20 07:00:00
22208,900,817,4,25.0,9,12.0,12,0.0,53,,34.0,14.0,11,2014-04-20 07:00:00
22209,900,19,8,1.0,3,5.0,5,10.0,54,5656116.0,37.0,5.0,1,2014-04-20 07:00:00
22210,900,3,5,14.0,5,3.0,3,15.0,54,5631942.0,48.0,4.0,1,2014-04-20 07:00:00
22211,900,2,129,6.0,4,2.0,2,18.0,54,5626400.0,39.0,1.0,1,2014-04-20 07:00:00
22212,900,0,129,44.0,1,1.0,1,25.0,54,5608338.0,42.0,2.0,1,2014-04-20 07:00:00
22213,900,807,9,27.0,8,6.0,6,8.0,54,5662633.0,33.0,10.0,1,2014-04-20 07:00:00
22214,900,816,8,3.0,2,4.0,4,12.0,54,5635474.0,39.0,3.0,1,2014-04-20 07:00:00
22215,900,7,5,7.0,11,8.0,8,4.0,54,5684673.0,34.0,8.0,1,2014-04-20 07:00:00
22216,900,814,9,11.0,16,9.0,9,2.0,54,5690985.0,32.0,6.0,1,2014-04-20 07:00:00
22217,900,825,4,26.0,13,10.0,10,1.0,53,,33.0,17.0,11,2014-04-20 07:00:00
22218,900,17,0,22.0,12,11.0,11,0.0,53,,30.0,18.0,11,2014-04-20 07:00:00
22219,900,821,2,77.0,7,7.0,7,6.0,54,5664035.0,52.0,11.0,1,2014-04-20 07:00:00
22220,900,824,0,20.0,15,13.0,13,0.0,53,,33.0,12.0,11,2014-04-20 07:00:00
22221,901,812,205,13.0,22,15.0,15,0.0,65,,39.0,15.0,11,2014-05-11 12:00:00
22222,901,817,4,25.0,21,,22,0.0,24,,18.0,19.0,43,2014-05-11 12:00:00
22223,901,154,204,10.0,20,,21,0.0,34,,25.0,21.0,23,2014-05-11 12:00:00
22224,901,827,204,9.0,19,20.0,20,0.0,64,,54.0,22.0,12,2014-05-11 12:00:00
22225,901,819,203,4.0,17,19.0,19,0.0,64,,44.0,18.0,12,2014-05-11 12:00:00
22226,901,823,203,17.0,18,18.0,18,0.0,64,,46.0,20.0,12,2014-05-11 12:00:00
22227,901,15,14,99.0,16,17.0,17,0.0,65,,38.0,17.0,11,2014-05-11 12:00:00
22228,901,820,14,21.0,13,16.0,16,0.0,65,,55.0,12.0,11,2014-05-11 12:00:00
22229,901,825,4,26.0,12,14.0,14,0.0,65,,59.0,6.0,11,2014-05-11 12:00:00
22230,901,824,0,20.0,14,12.0,12,0.0,65,,43.0,7.0,11,2014-05-11 12:00:00
22231,901,0,129,44.0,1,1.0,1,25.0,66,6065155.0,54.0,3.0,1,2014-05-11 12:00:00
22232,901,2,129,6.0,2,2.0,2,18.0,66,6065791.0,51.0,2.0,1,2014-05-11 12:00:00
22233,901,12,2,19.0,9,13.0,13,0.0,65,,55.0,9.0,11,2014-05-11 12:00:00
22234,901,19,8,1.0,15,4.0,4,12.0,66,6141857.0,55.0,1.0,1,2014-05-11 12:00:00
22235,901,821,2,77.0,4,5.0,5,10.0,66,6144448.0,47.0,8.0,1,2014-05-11 12:00:00
22236,901,816,8,3.0,3,3.0,3,15.0,66,6114169.0,65.0,5.0,1,2014-05-11 12:00:00
22237,901,7,5,7.0,6,7.0,7,6.0,65,,53.0,11.0,11,2014-05-11 12:00:00
22238,901,153,205,8.0,5,8.0,8,4.0,65,,47.0,14.0,11,2014-05-11 12:00:00
22239,901,814,9,11.0,11,9.0,9,2.0,65,,39.0,13.0,11,2014-05-11 12:00:00
22240,901,807,9,27.0,10,10.0,10,1.0,65,,42.0,16.0,11,2014-05-11 12:00:00
22241,901,17,0,22.0,8,11.0,11,0.0,65,,43.0,10.0,11,2014-05-11 12:00:00
22242,901,3,5,14.0,7,6.0,6,8.0,66,6152898.0,55.0,4.0,1,2014-05-11 12:00:00
22243,902,812,205,13.0,15,,22,0.0,0,,,0.0,54,2014-05-25 12:00:00
22244,902,814,9,11.0,10,,21,0.0,0,,,0.0,4,2014-05-25 12:00:00
22245,902,19,8,1.0,4,,20,0.0,5,,3.0,20.0,101,2014-05-25 12:00:00
22246,902,825,4,26.0,9,,19,0.0,10,,8.0,18.0,26,2014-05-25 12:00:00
22247,902,821,2,77.0,13,,16,0.0,55,,50.0,14.0,5,2014-05-25 12:00:00
22248,902,817,4,25.0,7,,17,0.0,50,,35.0,13.0,5,2014-05-25 12:00:00
22249,902,819,203,4.0,19,14.0,14,0.0,75,,69.0,7.0,13,2014-05-25 12:00:00
22250,902,15,14,99.0,18,,18,0.0,23,,23.0,17.0,3,2014-05-25 12:00:00
22251,902,820,14,21.0,17,,15,0.0,59,,41.0,15.0,3,2014-05-25 12:00:00
22252,902,2,129,6.0,1,1.0,1,25.0,78,6567661.0,33.0,4.0,1,2014-05-25 12:00:00
22253,902,0,129,44.0,2,2.0,2,18.0,78,6576871.0,34.0,3.0,1,2014-05-25 12:00:00
22254,902,154,204,10.0,20,13.0,13,0.0,75,,16.0,19.0,12,2014-05-25 12:00:00
22255,902,3,5,14.0,5,4.0,4,12.0,78,6600113.0,54.0,5.0,1,2014-05-25 12:00:00
22256,902,807,9,27.0,11,5.0,5,10.0,77,,38.0,9.0,11,2014-05-25 12:00:00
22257,902,17,0,22.0,12,6.0,6,8.0,77,,42.0,12.0,11,2014-05-25 12:00:00
22258,902,816,8,3.0,3,3.0,3,15.0,78,6577275.0,70.0,2.0,1,2014-05-25 12:00:00
22259,902,153,205,8.0,14,8.0,8,4.0,77,,53.0,11.0,11,2014-05-25 12:00:00
22260,902,823,203,17.0,21,9.0,9,2.0,77,,42.0,16.0,11,2014-05-25 12:00:00
22261,902,824,0,20.0,8,10.0,10,1.0,77,,75.0,8.0,11,2014-05-25 12:00:00
22262,902,827,204,9.0,22,11.0,11,0.0,77,,53.0,10.0,11,2014-05-25 12:00:00
22263,902,7,5,7.0,6,12.0,12,0.0,77,,75.0,1.0,11,2014-05-25 12:00:00
22264,902,12,2,19.0,16,7.0,7,6.0,77,,48.0,6.0,11,2014-05-25 12:00:00
22265,903,825,4,26.0,15,,16,0.0,47,,43.0,15.0,79,2014-06-08 18:00:00
22266,903,823,203,17.0,19,,22,0.0,0,,,0.0,4,2014-06-08 18:00:00
22267,903,819,203,4.0,18,,21,0.0,0,,,0.0,4,2014-06-08 18:00:00
22268,903,827,204,9.0,20,,20,0.0,7,,7.0,20.0,101,2014-06-08 18:00:00
22269,903,812,205,13.0,17,,19,0.0,21,,21.0,18.0,131,2014-06-08 18:00:00
22270,903,154,204,10.0,21,,18,0.0,23,,20.0,19.0,22,2014-06-08 18:00:00
22271,903,0,129,44.0,2,,17,0.0,46,,24.0,9.0,23,2014-06-08 18:00:00
22272,903,153,205,8.0,14,,15,0.0,59,,54.0,14.0,65,2014-06-08 18:00:00
22273,903,820,14,21.0,22,14.0,14,0.0,64,,51.0,16.0,132,2014-06-08 18:00:00
22274,903,15,14,99.0,16,13.0,13,0.0,69,,66.0,17.0,11,2014-06-08 18:00:00
22275,903,816,8,3.0,6,1.0,1,25.0,70,5952830.0,68.0,4.0,1,2014-06-08 18:00:00
22276,903,2,129,6.0,1,2.0,2,18.0,70,5957066.0,33.0,7.0,1,2014-06-08 18:00:00
22277,903,17,0,22.0,9,4.0,4,12.0,70,5964585.0,64.0,5.0,1,2014-06-08 18:00:00
22278,903,807,9,27.0,11,5.0,5,10.0,70,5965673.0,64.0,8.0,1,2014-06-08 18:00:00
22279,903,3,5,14.0,7,6.0,6,8.0,70,5967699.0,64.0,3.0,1,2014-06-08 18:00:00
22280,903,19,8,1.0,3,3.0,3,15.0,70,5958077.0,48.0,10.0,1,2014-06-08 18:00:00
22281,903,817,4,25.0,8,8.0,8,4.0,70,5980856.0,56.0,12.0,1,2014-06-08 18:00:00
22282,903,824,0,20.0,12,9.0,9,2.0,70,5982084.0,56.0,6.0,1,2014-06-08 18:00:00
22283,903,7,5,7.0,10,10.0,10,1.0,70,6006508.0,68.0,2.0,1,2014-06-08 18:00:00
22284,903,814,9,11.0,13,11.0,11,0.0,69,,63.0,13.0,4,2014-06-08 18:00:00
22285,903,12,2,19.0,5,12.0,12,0.0,69,,58.0,1.0,4,2014-06-08 18:00:00
22286,903,821,2,77.0,4,7.0,7,6.0,70,5976408.0,52.0,11.0,1,2014-06-08 18:00:00
22287,904,154,204,10.0,19,16.0,16,0.0,69,,40.0,22.0,12,2014-06-22 12:00:00
22288,904,825,4,26.0,7,,22,0.0,24,,23.0,18.0,22,2014-06-22 12:00:00
22289,904,19,8,1.0,12,,21,0.0,34,,30.0,17.0,10,2014-06-22 12:00:00
22290,904,817,4,25.0,14,,20,0.0,59,,55.0,13.0,23,2014-06-22 12:00:00
22291,904,820,14,21.0,17,19.0,19,0.0,69,,53.0,16.0,12,2014-06-22 12:00:00
22292,904,827,204,9.0,20,18.0,18,0.0,69,,33.0,20.0,12,2014-06-22 12:00:00
22293,904,819,203,4.0,21,17.0,17,0.0,69,,40.0,21.0,12,2014-06-22 12:00:00
22294,904,823,203,17.0,18,15.0,15,0.0,69,,65.0,19.0,12,2014-06-22 12:00:00
22295,904,821,2,77.0,2,3.0,3,15.0,71,5283148.0,63.0,3.0,1,2014-06-22 12:00:00
22296,904,15,14,99.0,16,13.0,13,0.0,70,,59.0,14.0,11,2014-06-22 12:00:00
22297,904,812,205,13.0,13,12.0,12,0.0,70,,64.0,12.0,11,2014-06-22 12:00:00
22298,904,17,0,22.0,11,11.0,11,0.0,71,5325942.0,60.0,8.0,1,2014-06-22 12:00:00
22299,904,7,5,7.0,8,10.0,10,1.0,71,5322753.0,55.0,9.0,1,2014-06-22 12:00:00
22300,904,807,9,27.0,10,9.0,9,2.0,71,5319113.0,60.0,11.0,1,2014-06-22 12:00:00
22301,904,816,8,3.0,5,8.0,8,4.0,71,5318498.0,55.0,10.0,1,2014-06-22 12:00:00
22302,904,824,0,20.0,6,7.0,7,6.0,71,5307007.0,53.0,7.0,1,2014-06-22 12:00:00
22303,904,814,9,11.0,15,6.0,6,8.0,71,5303522.0,59.0,1.0,1,2014-06-22 12:00:00
22304,904,3,5,14.0,4,5.0,5,10.0,71,5293529.0,58.0,5.0,1,2014-06-22 12:00:00
22305,904,12,2,19.0,1,4.0,4,12.0,71,5292334.0,63.0,4.0,1,2014-06-22 12:00:00
22306,904,153,205,8.0,22,14.0,14,0.0,70,,42.0,15.0,11,2014-06-22 12:00:00
22307,904,0,129,44.0,9,2.0,2,18.0,71,5276908.0,41.0,2.0,1,2014-06-22 12:00:00
22308,904,2,129,6.0,3,1.0,1,25.0,71,5274976.0,50.0,6.0,1,2014-06-22 12:00:00
22309,905,812,205,13.0,20,17.0,17,0.0,49,,48.0,16.0,13,2014-07-06 12:00:00
22310,905,2,129,6.0,1,,18,0.0,28,,26.0,3.0,6,2014-07-06 12:00:00
22311,905,827,204,9.0,21,,19,0.0,11,,7.0,20.0,22,2014-07-06 12:00:00
22312,905,819,203,4.0,17,16.0,16,0.0,50,,50.0,17.0,12,2014-07-06 12:00:00
22313,905,12,2,19.0,15,,21,0.0,0,,,0.0,4,2014-07-06 12:00:00
22314,905,7,5,7.0,18,,22,0.0,0,,,0.0,4,2014-07-06 12:00:00
22315,905,820,14,21.0,19,,20,0.0,9,,7.0,19.0,4,2014-07-06 12:00:00
22316,905,154,204,10.0,22,15.0,15,0.0,50,,31.0,18.0,12,2014-07-06 12:00:00
22317,905,816,8,3.0,8,3.0,3,15.0,52,8858589.0,34.0,7.0,1,2014-07-06 12:00:00
22318,905,15,14,99.0,13,13.0,13,0.0,51,,34.0,15.0,11,2014-07-06 12:00:00
22319,905,3,5,14.0,16,6.0,6,8.0,52,8872040.0,52.0,8.0,1,2014-07-06 12:00:00
22320,905,19,8,1.0,2,5.0,5,10.0,52,8865958.0,52.0,2.0,1,2014-07-06 12:00:00
22321,905,821,2,77.0,14,2.0,2,18.0,52,8842229.0,34.0,4.0,1,2014-07-06 12:00:00
22322,905,0,129,44.0,6,1.0,1,25.0,52,8812094.0,26.0,1.0,1,2014-07-06 12:00:00
22323,905,824,0,20.0,5,7.0,7,6.0,52,8874657.0,32.0,10.0,1,2014-07-06 12:00:00
22324,905,17,0,22.0,3,4.0,4,12.0,52,8859484.0,52.0,5.0,1,2014-07-06 12:00:00
22325,905,825,4,26.0,9,9.0,9,2.0,52,8901434.0,45.0,6.0,1,2014-07-06 12:00:00
22326,905,817,4,25.0,10,10.0,10,1.0,51,,44.0,13.0,11,2014-07-06 12:00:00
22327,905,814,9,11.0,7,11.0,11,0.0,51,,41.0,11.0,11,2014-07-06 12:00:00
22328,905,153,205,8.0,11,12.0,12,0.0,51,,48.0,12.0,11,2014-07-06 12:00:00
22329,905,807,9,27.0,4,8.0,8,4.0,52,8900786.0,52.0,9.0,1,2014-07-06 12:00:00
22330,905,823,203,17.0,12,14.0,14,0.0,51,,51.0,14.0,11,2014-07-06 12:00:00
22331,906,154,204,10.0,19,16.0,16,0.0,65,,50.0,18.0,12,2014-07-20 12:00:00
22332,906,12,2,19.0,3,,22,0.0,0,,,0.0,4,2014-07-20 12:00:00
22333,906,153,205,8.0,14,,21,0.0,26,,26.0,21.0,47,2014-07-20 12:00:00
22334,906,825,4,26.0,8,,20,0.0,44,,34.0,14.0,44,2014-07-20 12:00:00
22335,906,15,14,99.0,15,,19,0.0,47,,41.0,17.0,23,2014-07-20 12:00:00
22336,906,827,204,9.0,22,18.0,18,0.0,65,,49.0,20.0,12,2014-07-20 12:00:00
22337,906,819,203,4.0,21,17.0,17,0.0,65,,50.0,19.0,12,2014-07-20 12:00:00
22338,906,823,203,17.0,17,15.0,15,0.0,66,,57.0,16.0,11,2014-07-20 12:00:00
22339,906,817,4,25.0,13,13.0,13,0.0,66,,58.0,11.0,11,2014-07-20 12:00:00
22340,906,2,129,6.0,1,1.0,1,25.0,67,5622914.0,67.0,6.0,1,2014-07-20 12:00:00
22341,906,821,2,77.0,2,2.0,2,18.0,67,5643703.0,45.0,9.0,1,2014-07-20 12:00:00
22342,906,820,14,21.0,16,14.0,14,0.0,66,,61.0,12.0,11,2014-07-20 12:00:00
22343,906,19,8,1.0,6,4.0,4,12.0,67,5666928.0,39.0,10.0,1,2014-07-20 12:00:00
22344,906,3,5,14.0,7,5.0,5,10.0,67,5675381.0,57.0,3.0,1,2014-07-20 12:00:00
22345,906,816,8,3.0,5,6.0,6,8.0,67,5675463.0,53.0,5.0,1,2014-07-20 12:00:00
22346,906,0,129,44.0,20,3.0,3,15.0,67,5645444.0,53.0,1.0,1,2014-07-20 12:00:00
22347,906,17,0,22.0,11,8.0,8,4.0,67,5707625.0,64.0,8.0,1,2014-07-20 12:00:00
22348,906,824,0,20.0,4,9.0,9,2.0,66,,56.0,2.0,11,2014-07-20 12:00:00
22349,906,814,9,11.0,10,10.0,10,1.0,66,,54.0,4.0,11,2014-07-20 12:00:00
22350,906,7,5,7.0,12,11.0,11,0.0,66,,55.0,7.0,11,2014-07-20 12:00:00
22351,906,812,205,13.0,18,12.0,12,0.0,66,,41.0,15.0,11,2014-07-20 12:00:00
22352,906,807,9,27.0,9,7.0,7,6.0,67,5687092.0,44.0,13.0,1,2014-07-20 12:00:00
22353,907,819,203,4.0,18,16.0,16,0.0,69,,47.0,15.0,11,2014-07-27 12:00:00
22354,907,827,204,9.0,19,,22,0.0,8,,6.0,22.0,3,2014-07-27 12:00:00
22355,907,153,205,8.0,14,,21,0.0,11,,7.0,21.0,3,2014-07-27 12:00:00
22356,907,807,9,27.0,9,,20,0.0,16,,14.0,20.0,3,2014-07-27 12:00:00
22357,907,814,9,11.0,12,,19,0.0,23,,21.0,17.0,3,2014-07-27 12:00:00
22358,907,154,204,10.0,17,,18,0.0,26,,21.0,19.0,31,2014-07-27 12:00:00
22359,907,820,14,21.0,13,,17,0.0,33,,29.0,18.0,31,2014-07-27 12:00:00
22360,907,823,203,17.0,15,15.0,15,0.0,69,,49.0,16.0,11,2014-07-27 12:00:00
22361,907,0,129,44.0,22,3.0,3,15.0,70,6790915.0,36.0,4.0,1,2014-07-27 12:00:00
22362,907,812,205,13.0,20,13.0,13,0.0,70,6869082.0,45.0,12.0,1,2014-07-27 12:00:00
22363,907,7,5,7.0,16,6.0,6,8.0,70,6816549.0,47.0,6.0,1,2014-07-27 12:00:00
22364,907,12,2,19.0,6,5.0,5,10.0,70,6814899.0,51.0,7.0,1,2014-07-27 12:00:00
22365,907,2,129,6.0,1,4.0,4,12.0,70,6791419.0,64.0,1.0,1,2014-07-27 12:00:00
22366,907,3,5,14.0,5,2.0,2,18.0,70,6790283.0,40.0,5.0,1,2014-07-27 12:00:00
22367,907,816,8,3.0,4,1.0,1,25.0,70,6785058.0,58.0,2.0,1,2014-07-27 12:00:00
22368,907,825,4,26.0,10,14.0,14,0.0,69,,51.0,14.0,11,2014-07-27 12:00:00
22369,907,824,0,20.0,21,12.0,12,0.0,70,6863523.0,41.0,10.0,1,2014-07-27 12:00:00
22370,907,15,14,99.0,11,11.0,11,0.0,70,6853227.0,41.0,8.0,1,2014-07-27 12:00:00
22371,907,17,0,22.0,7,10.0,10,1.0,70,6852338.0,50.0,13.0,1,2014-07-27 12:00:00
22372,907,817,4,25.0,8,9.0,9,2.0,70,6843585.0,31.0,11.0,1,2014-07-27 12:00:00
22373,907,821,2,77.0,3,8.0,8,4.0,70,6826402.0,63.0,3.0,1,2014-07-27 12:00:00
22374,907,19,8,1.0,2,7.0,7,6.0,70,6826022.0,52.0,9.0,1,2014-07-27 12:00:00
22375,908,816,8,3.0,5,1.0,1,25.0,44,5076556.0,44.0,6.0,1,2014-08-24 12:00:00
22376,908,826,204,45.0,21,,22,0.0,1,,,0.0,131,2014-08-24 12:00:00
22377,908,812,205,13.0,17,,21,0.0,1,,,0.0,26,2014-08-24 12:00:00
22378,908,153,205,8.0,15,,20,0.0,33,,21.0,18.0,31,2014-08-24 12:00:00
22379,908,0,129,44.0,2,,19,0.0,38,,33.0,10.0,31,2014-08-24 12:00:00
22380,908,827,204,9.0,22,17.0,17,0.0,43,,26.0,19.0,11,2014-08-24 12:00:00
22381,908,819,203,4.0,19,16.0,16,0.0,43,,31.0,17.0,11,2014-08-24 12:00:00
22382,908,820,14,21.0,20,15.0,15,0.0,44,5167381.0,32.0,12.0,1,2014-08-24 12:00:00
22383,908,823,203,17.0,16,18.0,18,0.0,39,,32.0,20.0,6,2014-08-24 12:00:00
22384,908,12,2,19.0,9,13.0,13,0.0,44,5152531.0,37.0,3.0,1,2014-08-24 12:00:00
22385,908,2,129,6.0,1,2.0,2,18.0,44,5079939.0,36.0,1.0,1,2014-08-24 12:00:00
22386,908,821,2,77.0,6,3.0,3,15.0,44,5104588.0,40.0,4.0,1,2014-08-24 12:00:00
22387,908,19,8,1.0,3,5.0,5,10.0,44,5128752.0,36.0,5.0,1,2014-08-24 12:00:00
22388,908,17,0,22.0,10,6.0,6,8.0,44,5131136.0,38.0,8.0,1,2014-08-24 12:00:00
22389,908,3,5,14.0,4,7.0,7,6.0,44,5137718.0,29.0,11.0,1,2014-08-24 12:00:00
22390,908,7,5,7.0,8,4.0,4,12.0,44,5113371.0,39.0,13.0,1,2014-08-24 12:00:00
22391,908,825,4,26.0,11,9.0,9,2.0,44,5141903.0,26.0,14.0,1,2014-08-24 12:00:00
22392,908,807,9,27.0,18,10.0,10,1.0,44,5142253.0,40.0,9.0,1,2014-08-24 12:00:00
22393,908,817,4,25.0,12,11.0,11,0.0,44,5148476.0,31.0,7.0,1,2014-08-24 12:00:00
22394,908,824,0,20.0,7,12.0,12,0.0,44,5150818.0,28.0,15.0,1,2014-08-24 12:00:00
22395,908,814,9,11.0,13,8.0,8,4.0,44,5140849.0,28.0,16.0,1,2014-08-24 12:00:00
22396,908,15,14,99.0,14,14.0,14,0.0,44,5159003.0,36.0,2.0,1,2014-08-24 12:00:00
22397,909,153,205,8.0,17,16.0,16,0.0,52,,38.0,18.0,11,2014-09-07 12:00:00
