driverStandingsId,raceId,driverId,points,position,wins,date
30118,902,821,34.0,7,0,2014-05-25 12:00:00
30119,902,823,2.0,16,0,2014-05-25 12:00:00
30120,902,819,0.0,20,0,2014-05-25 12:00:00
30121,902,820,0.0,19,0,2014-05-25 12:00:00
30122,902,15,0.0,18,0,2014-05-25 12:00:00
30123,902,814,20.0,10,0,2014-05-25 12:00:00
30124,902,153,8.0,13,0,2014-05-25 12:00:00
30125,903,17,43.0,7,0,2014-06-08 18:00:00
30126,903,2,140.0,1,2,2014-06-08 18:00:00
30127,903,824,23.0,9,0,2014-06-08 18:00:00
30128,903,154,0.0,21,0,2014-06-08 18:00:00
30129,903,3,69.0,4,0,2014-06-08 18:00:00
30130,903,807,57.0,6,0,2014-06-08 18:00:00
30131,903,12,18.0,11,0,2014-06-08 18:00:00
30132,903,0,118.0,2,4,2014-06-08 18:00:00
30133,903,19,60.0,5,0,2014-06-08 18:00:00
30134,903,827,0.0,18,0,2014-06-08 18:00:00
30135,903,812,0.0,22,0,2014-06-08 18:00:00
30136,903,153,8.0,13,0,2014-06-08 18:00:00
30137,903,821,40.0,8,0,2014-06-08 18:00:00
30138,903,823,2.0,16,0,2014-06-08 18:00:00
30139,903,820,0.0,19,0,2014-06-08 18:00:00
30140,903,15,0.0,17,0,2014-06-08 18:00:00
30141,903,814,20.0,10,0,2014-06-08 18:00:00
30142,903,825,4.0,15,0,2014-06-08 18:00:00
30143,903,817,8.0,14,0,2014-06-08 18:00:00
30144,903,7,18.0,12,0,2014-06-08 18:00:00
30145,903,819,0.0,20,0,2014-06-08 18:00:00
30146,903,816,79.0,3,1,2014-06-08 18:00:00
30147,904,153,8.0,13,0,2014-06-22 12:00:00
30148,904,812,0.0,19,0,2014-06-22 12:00:00
30149,904,816,83.0,3,1,2014-06-22 12:00:00
30150,904,154,0.0,22,0,2014-06-22 12:00:00
30151,904,12,30.0,9,0,2014-06-22 12:00:00
30152,904,0,136.0,2,4,2014-06-22 12:00:00
30153,904,19,60.0,5,0,2014-06-22 12:00:00
30154,904,827,0.0,18,0,2014-06-22 12:00:00
30155,904,823,2.0,16,0,2014-06-22 12:00:00
30156,904,819,0.0,21,0,2014-06-22 12:00:00
30157,904,15,0.0,17,0,2014-06-22 12:00:00
30158,904,820,0.0,20,0,2014-06-22 12:00:00
30159,904,825,4.0,15,0,2014-06-22 12:00:00
30160,904,817,8.0,14,0,2014-06-22 12:00:00
30161,904,7,19.0,12,0,2014-06-22 12:00:00
30162,904,807,59.0,6,0,2014-06-22 12:00:00
30163,904,821,55.0,7,0,2014-06-22 12:00:00
30164,904,3,79.0,4,0,2014-06-22 12:00:00
30165,904,17,43.0,8,0,2014-06-22 12:00:00
30166,904,824,29.0,10,0,2014-06-22 12:00:00
30167,904,2,165.0,1,3,2014-06-22 12:00:00
30168,904,814,28.0,11,0,2014-06-22 12:00:00
30169,905,807,63.0,7,0,2014-07-06 12:00:00
30170,905,817,9.0,13,0,2014-07-06 12:00:00
30171,905,7,19.0,12,0,2014-07-06 12:00:00
30172,905,821,73.0,5,0,2014-07-06 12:00:00
30173,905,812,0.0,19,0,2014-07-06 12:00:00
30174,905,17,55.0,8,0,2014-07-06 12:00:00
30175,905,824,35.0,9,0,2014-07-06 12:00:00
30176,905,2,165.0,1,3,2014-07-06 12:00:00
30177,905,825,6.0,15,0,2014-07-06 12:00:00
30178,905,3,87.0,4,0,2014-07-06 12:00:00
30179,905,153,8.0,14,0,2014-07-06 12:00:00
30180,905,814,28.0,11,0,2014-07-06 12:00:00
30181,905,819,0.0,21,0,2014-07-06 12:00:00
30182,905,827,0.0,18,0,2014-07-06 12:00:00
30183,905,19,70.0,6,0,2014-07-06 12:00:00
30184,905,0,161.0,2,5,2014-07-06 12:00:00
30185,905,12,30.0,10,0,2014-07-06 12:00:00
30186,905,154,0.0,22,0,2014-07-06 12:00:00
30187,905,816,98.0,3,1,2014-07-06 12:00:00
30188,905,820,0.0,20,0,2014-07-06 12:00:00
30189,905,15,0.0,17,0,2014-07-06 12:00:00
30190,905,823,2.0,16,0,2014-07-06 12:00:00
30191,906,153,8.0,14,0,2014-07-20 12:00:00
30192,906,816,106.0,3,1,2014-07-20 12:00:00
30193,906,154,0.0,22,0,2014-07-20 12:00:00
30194,906,12,30.0,10,0,2014-07-20 12:00:00
30195,906,0,176.0,2,5,2014-07-20 12:00:00
30196,906,19,82.0,6,0,2014-07-20 12:00:00
30197,906,2,190.0,1,4,2014-07-20 12:00:00
30198,906,824,37.0,9,0,2014-07-20 12:00:00
30199,906,17,59.0,8,0,2014-07-20 12:00:00
30200,906,812,0.0,19,0,2014-07-20 12:00:00
30201,906,3,97.0,4,0,2014-07-20 12:00:00
30202,906,807,69.0,7,0,2014-07-20 12:00:00
30203,906,7,19.0,12,0,2014-07-20 12:00:00
30204,906,817,9.0,13,0,2014-07-20 12:00:00
30205,906,827,0.0,18,0,2014-07-20 12:00:00
30206,906,814,29.0,11,0,2014-07-20 12:00:00
30207,906,15,0.0,17,0,2014-07-20 12:00:00
30208,906,820,0.0,20,0,2014-07-20 12:00:00
30209,906,819,0.0,21,0,2014-07-20 12:00:00
30210,906,823,2.0,16,0,2014-07-20 12:00:00
30211,906,821,91.0,5,0,2014-07-20 12:00:00
30212,906,825,6.0,15,0,2014-07-20 12:00:00
30213,907,15,0.0,17,0,2014-07-27 12:00:00
30214,907,19,88.0,6,0,2014-07-27 12:00:00
30215,907,812,0.0,19,0,2014-07-27 12:00:00
30216,907,827,0.0,18,0,2014-07-27 12:00:00
30217,907,2,202.0,1,4,2014-07-27 12:00:00
30218,907,0,191.0,2,5,2014-07-27 12:00:00
30219,907,12,40.0,9,0,2014-07-27 12:00:00
30220,907,154,0.0,22,0,2014-07-27 12:00:00
30221,907,816,131.0,3,2,2014-07-27 12:00:00
30222,907,819,0.0,21,0,2014-07-27 12:00:00
30223,907,820,0.0,20,0,2014-07-27 12:00:00
30224,907,814,29.0,11,0,2014-07-27 12:00:00
30225,907,825,6.0,15,0,2014-07-27 12:00:00
30226,907,817,11.0,13,0,2014-07-27 12:00:00
30227,907,7,27.0,12,0,2014-07-27 12:00:00
30228,907,807,69.0,7,0,2014-07-27 12:00:00
30229,907,821,95.0,5,0,2014-07-27 12:00:00
30230,907,3,115.0,4,0,2014-07-27 12:00:00
30231,907,17,60.0,8,0,2014-07-27 12:00:00
30232,907,824,37.0,10,0,2014-07-27 12:00:00
30233,907,153,8.0,14,0,2014-07-27 12:00:00
30234,907,823,2.0,16,0,2014-07-27 12:00:00
30235,908,823,2.0,16,0,2014-08-24 12:00:00
30236,908,812,0.0,19,0,2014-08-24 12:00:00
30237,908,824,37.0,11,0,2014-08-24 12:00:00
30238,908,17,68.0,8,0,2014-08-24 12:00:00
30239,908,3,121.0,4,0,2014-08-24 12:00:00
30240,908,821,110.0,5,0,2014-08-24 12:00:00
30241,908,807,70.0,7,0,2014-08-24 12:00:00
30242,908,7,39.0,10,0,2014-08-24 12:00:00
30243,908,817,11.0,13,0,2014-08-24 12:00:00
30244,908,825,8.0,15,0,2014-08-24 12:00:00
30245,908,814,33.0,12,0,2014-08-24 12:00:00
30246,908,15,0.0,17,0,2014-08-24 12:00:00
30247,908,820,0.0,20,0,2014-08-24 12:00:00
30248,908,2,220.0,1,4,2014-08-24 12:00:00
30249,908,819,0.0,21,0,2014-08-24 12:00:00
30250,908,153,8.0,14,0,2014-08-24 12:00:00
30251,908,816,156.0,3,3,2014-08-24 12:00:00
30252,908,19,98.0,6,0,2014-08-24 12:00:00
30253,908,0,191.0,2,5,2014-08-24 12:00:00
30254,908,12,40.0,9,0,2014-08-24 12:00:00
30255,908,154,0.0,22,0,2014-08-24 12:00:00
30256,908,826,0.0,23,0,2014-08-24 12:00:00
30257,908,827,0.0,18,0,2014-08-24 12:00:00
30258,909,2,238.0,1,4,2014-09-07 12:00:00
30259,909,824,38.0,12,0,2014-09-07 12:00:00
30260,909,17,72.0,7,0,2014-09-07 12:00:00
30261,909,3,121.0,5,0,2014-09-07 12:00:00
30262,909,821,122.0,4,0,2014-09-07 12:00:00
30263,909,807,70.0,8,0,2014-09-07 12:00:00
30264,909,7,41.0,10,0,2014-09-07 12:00:00
30265,909,817,11.0,13,0,2014-09-07 12:00:00
30266,909,825,8.0,15,0,2014-09-07 12:00:00
30267,909,814,39.0,11,0,2014-09-07 12:00:00
30268,909,820,0.0,20,0,2014-09-07 12:00:00
30269,909,823,2.0,16,0,2014-09-07 12:00:00
30270,909,153,8.0,14,0,2014-09-07 12:00:00
30271,909,812,0.0,19,0,2014-09-07 12:00:00
30272,909,827,0.0,18,0,2014-09-07 12:00:00
30273,909,19,106.0,6,0,2014-09-07 12:00:00
30274,909,0,216.0,2,6,2014-09-07 12:00:00
30275,909,12,55.0,9,0,2014-09-07 12:00:00
30276,909,154,0.0,22,0,2014-09-07 12:00:00
30277,909,816,166.0,3,3,2014-09-07 12:00:00
30278,909,826,0.0,23,0,2014-09-07 12:00:00
30279,909,15,0.0,17,0,2014-09-07 12:00:00
30280,909,819,0.0,21,0,2014-09-07 12:00:00
30281,910,7,45.0,11,0,2014-09-21 12:00:00
30282,910,807,72.0,8,0,2014-09-21 12:00:00
30283,910,2,238.0,2,4,2014-09-21 12:00:00
30284,910,824,39.0,12,0,2014-09-21 12:00:00
30285,910,821,122.0,6,0,2014-09-21 12:00:00
30286,910,17,72.0,7,0,2014-09-21 12:00:00
30287,910,3,133.0,4,0,2014-09-21 12:00:00
30288,910,154,0.0,22,0,2014-09-21 12:00:00
30289,910,826,0.0,23,0,2014-09-21 12:00:00
30290,910,816,181.0,3,3,2014-09-21 12:00:00
30291,910,12,65.0,9,0,2014-09-21 12:00:00
30292,910,0,241.0,1,7,2014-09-21 12:00:00
30293,910,19,124.0,5,0,2014-09-21 12:00:00
30294,910,812,0.0,19,0,2014-09-21 12:00:00
30295,910,153,8.0,14,0,2014-09-21 12:00:00
30296,910,827,0.0,18,0,2014-09-21 12:00:00
30297,910,819,0.0,21,0,2014-09-21 12:00:00
30298,910,820,0.0,20,0,2014-09-21 12:00:00
30299,910,15,0.0,17,0,2014-09-21 12:00:00
30300,910,814,45.0,10,0,2014-09-21 12:00:00
30301,910,825,8.0,15,0,2014-09-21 12:00:00
30302,910,817,19.0,13,0,2014-09-21 12:00:00
30303,910,823,2.0,16,0,2014-09-21 12:00:00
30304,911,7,45.0,11,0,2014-10-05 06:00:00
30305,911,15,0.0,17,0,2014-10-05 06:00:00
30306,911,814,46.0,10,0,2014-10-05 06:00:00
30307,911,825,8.0,15,0,2014-10-05 06:00:00
30308,911,817,21.0,13,0,2014-10-05 06:00:00
30309,911,807,76.0,8,0,2014-10-05 06:00:00
30310,911,154,0.0,22,0,2014-10-05 06:00:00
30311,911,3,133.0,5,0,2014-10-05 06:00:00
30312,911,17,82.0,7,0,2014-10-05 06:00:00
30313,911,824,39.0,12,0,2014-10-05 06:00:00
30314,911,2,256.0,2,4,2014-10-05 06:00:00
30315,911,820,0.0,20,0,2014-10-05 06:00:00
30316,911,821,130.0,6,0,2014-10-05 06:00:00
30317,911,819,0.0,21,0,2014-10-05 06:00:00
30318,911,823,2.0,16,0,2014-10-05 06:00:00
30319,911,153,8.0,14,0,2014-10-05 06:00:00
30320,911,12,71.0,9,0,2014-10-05 06:00:00
30321,911,826,0.0,23,0,2014-10-05 06:00:00
30322,911,816,193.0,3,3,2014-10-05 06:00:00
30323,911,0,266.0,1,8,2014-10-05 06:00:00
30324,911,827,0.0,18,0,2014-10-05 06:00:00
30325,911,812,0.0,19,0,2014-10-05 06:00:00
30326,911,19,139.0,4,0,2014-10-05 06:00:00
30327,912,2,274.0,2,4,2014-10-12 11:00:00
30328,912,824,49.0,10,0,2014-10-12 11:00:00
30329,912,3,141.0,6,0,2014-10-12 11:00:00
30330,912,821,145.0,4,0,2014-10-12 11:00:00
30331,912,807,76.0,8,0,2014-10-12 11:00:00
30332,912,7,47.0,12,0,2014-10-12 11:00:00
30333,912,817,21.0,13,0,2014-10-12 11:00:00
30334,912,825,8.0,15,0,2014-10-12 11:00:00
30335,912,17,94.0,7,0,2014-10-12 11:00:00
30336,912,820,0.0,20,0,2014-10-12 11:00:00
30337,912,819,0.0,21,0,2014-10-12 11:00:00
30338,912,823,2.0,16,0,2014-10-12 11:00:00
30339,912,153,8.0,14,0,2014-10-12 11:00:00
30340,912,812,0.0,19,0,2014-10-12 11:00:00
30341,912,827,0.0,18,0,2014-10-12 11:00:00
30342,912,19,143.0,5,0,2014-10-12 11:00:00
30343,912,0,291.0,1,9,2014-10-12 11:00:00
30344,912,12,71.0,9,0,2014-10-12 11:00:00
30345,912,154,0.0,22,0,2014-10-12 11:00:00
30346,912,816,199.0,3,3,2014-10-12 11:00:00
30347,912,826,0.0,23,0,2014-10-12 11:00:00
30348,912,15,0.0,17,0,2014-10-12 11:00:00
30349,912,814,47.0,11,0,2014-10-12 11:00:00
30350,913,820,0.0,20,0,2014-11-02 20:00:00
30351,913,19,149.0,5,0,2014-11-02 20:00:00
30352,913,826,0.0,23,0,2014-11-02 20:00:00
30353,913,816,214.0,3,3,2014-11-02 20:00:00
30354,913,154,0.0,22,0,2014-11-02 20:00:00
30355,913,12,83.0,8,0,2014-11-02 20:00:00
30356,913,0,316.0,1,10,2014-11-02 20:00:00
30357,913,827,0.0,19,0,2014-11-02 20:00:00
30358,913,812,2.0,16,0,2014-11-02 20:00:00
30359,913,153,8.0,14,0,2014-11-02 20:00:00
30360,913,819,0.0,21,0,2014-11-02 20:00:00
30361,913,15,0.0,18,0,2014-11-02 20:00:00
30362,913,823,2.0,17,0,2014-11-02 20:00:00
30363,913,825,8.0,15,0,2014-11-02 20:00:00
30364,913,817,22.0,13,0,2014-11-02 20:00:00
30365,913,7,47.0,12,0,2014-11-02 20:00:00
30366,913,807,76.0,9,0,2014-11-02 20:00:00
30367,913,821,155.0,4,0,2014-11-02 20:00:00
30368,913,3,149.0,6,0,2014-11-02 20:00:00
30369,913,17,94.0,7,0,2014-11-02 20:00:00
30370,913,824,53.0,10,0,2014-11-02 20:00:00
30371,913,2,292.0,2,4,2014-11-02 20:00:00
30372,913,814,47.0,11,0,2014-11-02 20:00:00
30373,914,7,53.0,11,0,2014-11-09 16:00:00
30374,914,15,0.0,18,0,2014-11-09 16:00:00
30375,914,814,47.0,12,0,2014-11-09 16:00:00
30376,914,825,8.0,15,0,2014-11-09 16:00:00
30377,914,807,80.0,9,0,2014-11-09 16:00:00
30378,914,153,8.0,14,0,2014-11-09 16:00:00
30379,914,3,157.0,5,0,2014-11-09 16:00:00
30380,914,17,106.0,7,0,2014-11-09 16:00:00
30381,914,824,55.0,10,0,2014-11-09 16:00:00
30382,914,2,317.0,2,5,2014-11-09 16:00:00
30383,914,823,2.0,17,0,2014-11-09 16:00:00
30384,914,821,156.0,6,0,2014-11-09 16:00:00
30385,914,820,0.0,20,0,2014-11-09 16:00:00
30386,914,817,22.0,13,0,2014-11-09 16:00:00
30387,914,826,0.0,23,0,2014-11-09 16:00:00
30388,914,812,2.0,16,0,2014-11-09 16:00:00
30389,914,827,0.0,19,0,2014-11-09 16:00:00
30390,914,19,159.0,4,0,2014-11-09 16:00:00
30391,914,0,334.0,1,10,2014-11-09 16:00:00
30392,914,12,98.0,8,0,2014-11-09 16:00:00
30393,914,154,0.0,22,0,2014-11-09 16:00:00
30394,914,819,0.0,21,0,2014-11-09 16:00:00
30395,914,816,214.0,3,3,2014-11-09 16:00:00
30396,915,19,167.0,5,0,2014-11-23 13:00:00
30397,915,827,0.0,19,0,2014-11-23 13:00:00
30398,915,817,22.0,13,0,2014-11-23 13:00:00
30399,915,153,8.0,14,0,2014-11-23 13:00:00
30400,915,812,2.0,16,0,2014-11-23 13:00:00
30401,915,819,0.0,21,0,2014-11-23 13:00:00
30402,915,820,0.0,20,0,2014-11-23 13:00:00
30403,915,15,0.0,18,0,2014-11-23 13:00:00
30404,915,0,384.0,1,11,2014-11-23 13:00:00
30405,915,823,2.0,17,0,2014-11-23 13:00:00
30406,915,12,134.0,7,0,2014-11-23 13:00:00
30407,915,7,55.0,12,0,2014-11-23 13:00:00
30408,915,816,238.0,3,3,2014-11-23 13:00:00
30409,915,826,0.0,24,0,2014-11-23 13:00:00
30410,915,828,0.0,23,0,2014-11-23 13:00:00
30411,915,814,59.0,10,0,2014-11-23 13:00:00
30412,915,807,96.0,9,0,2014-11-23 13:00:00
30413,915,821,186.0,4,0,2014-11-23 13:00:00
30414,915,3,161.0,6,0,2014-11-23 13:00:00
30415,915,17,126.0,8,0,2014-11-23 13:00:00
30416,915,824,55.0,11,0,2014-11-23 13:00:00
30417,915,2,317.0,2,5,2014-11-23 13:00:00
30418,915,154,0.0,22,0,2014-11-23 13:00:00
30419,915,825,8.0,15,0,2014-11-23 13:00:00
30420,916,153,0.0,14,0,2015-03-15 05:00:00
30421,916,0,25.0,1,1,2015-03-15 05:00:00
30422,916,7,0.0,12,0,2015-03-15 05:00:00
30423,916,821,0.0,18,0,2015-03-15 05:00:00
30424,916,824,0.0,17,0,2015-03-15 05:00:00
30425,916,812,0.0,15,0,2015-03-15 05:00:00
30426,916,829,0.0,13,0,2015-03-15 05:00:00
30427,916,17,0.0,11,0,2015-03-15 05:00:00
30428,916,825,0.0,16,0,2015-03-15 05:00:00
30429,916,831,2.0,9,0,2015-03-15 05:00:00
30430,916,807,6.0,7,0,2015-03-15 05:00:00
30431,916,816,8.0,6,0,2015-03-15 05:00:00
30432,916,830,10.0,5,0,2015-03-15 05:00:00
30433,916,12,12.0,4,0,2015-03-15 05:00:00
30434,916,19,15.0,3,0,2015-03-15 05:00:00
30435,916,2,18.0,2,0,2015-03-15 05:00:00
30436,916,827,4.0,8,0,2015-03-15 05:00:00
30437,916,814,1.0,10,0,2015-03-15 05:00:00
30438,917,830,10.0,6,0,2015-03-29 07:00:00
30439,917,824,0.0,19,0,2015-03-29 07:00:00
30440,917,812,0.0,18,0,2015-03-29 07:00:00
30441,917,825,2.0,13,0,2015-03-29 07:00:00
30442,917,0,43.0,1,1,2015-03-29 07:00:00
30443,917,821,10.0,7,0,2015-03-29 07:00:00
30444,917,832,0.0,17,0,2015-03-29 07:00:00
30445,917,3,0.0,20,0,2015-03-29 07:00:00
30446,917,828,0.0,21,0,2015-03-29 07:00:00
30447,917,7,12.0,5,0,2015-03-29 07:00:00
30448,917,153,0.0,15,0,2015-03-29 07:00:00
30449,917,17,0.0,16,0,2015-03-29 07:00:00
30450,917,831,6.0,11,0,2015-03-29 07:00:00
30451,917,827,4.0,12,0,2015-03-29 07:00:00
30452,917,807,6.0,9,0,2015-03-29 07:00:00
30453,917,816,9.0,8,0,2015-03-29 07:00:00
30454,917,12,20.0,4,0,2015-03-29 07:00:00
30455,917,19,40.0,2,1,2015-03-29 07:00:00
30456,917,2,33.0,3,0,2015-03-29 07:00:00
30457,917,814,1.0,14,0,2015-03-29 07:00:00
30458,917,829,6.0,10,0,2015-03-29 07:00:00
30459,918,829,6.0,11,0,2015-04-12 06:00:00
30460,918,812,0.0,20,0,2015-04-12 06:00:00
30461,918,2,51.0,3,0,2015-04-12 06:00:00
30462,918,19,55.0,2,1,2015-04-12 06:00:00
30463,918,12,30.0,4,0,2015-04-12 06:00:00
30464,918,830,14.0,7,0,2015-04-12 06:00:00
30465,918,816,11.0,8,0,2015-04-12 06:00:00
30466,918,807,6.0,10,0,2015-04-12 06:00:00
30467,918,827,5.0,13,0,2015-04-12 06:00:00
30468,918,831,6.0,12,0,2015-04-12 06:00:00
30469,918,814,1.0,15,0,2015-04-12 06:00:00
30470,918,17,0.0,16,0,2015-04-12 06:00:00
30471,918,0,68.0,1,2,2015-04-12 06:00:00
30472,918,7,24.0,5,0,2015-04-12 06:00:00
30473,918,153,6.0,9,0,2015-04-12 06:00:00
30474,918,825,2.0,14,0,2015-04-12 06:00:00
30475,918,824,0.0,21,0,2015-04-12 06:00:00
30476,918,821,18.0,6,0,2015-04-12 06:00:00
30477,918,832,0.0,18,0,2015-04-12 06:00:00
30478,918,3,0.0,17,0,2015-04-12 06:00:00
30479,918,828,0.0,19,0,2015-04-12 06:00:00
30480,919,824,0.0,21,0,2015-04-19 15:00:00
30481,919,825,4.0,15,0,2015-04-19 15:00:00
30482,919,829,6.0,11,0,2015-04-19 15:00:00
30483,919,821,30.0,6,0,2015-04-19 15:00:00
30484,919,832,0.0,18,0,2015-04-19 15:00:00
30485,919,3,0.0,16,0,2015-04-19 15:00:00
30486,919,828,0.0,19,0,2015-04-19 15:00:00
30487,919,7,42.0,4,0,2015-04-19 15:00:00
30488,919,17,0.0,17,0,2015-04-19 15:00:00
30489,919,814,5.0,13,0,2015-04-19 15:00:00
30490,919,807,6.0,10,0,2015-04-19 15:00:00
