qualifyId,raceId,driverId,constructorId,number,position,date
5980,901,824,0,20,15,2014-05-10 12:00:00
5981,901,825,4,26,13,2014-05-10 12:00:00
5982,901,807,9,27,11,2014-05-10 12:00:00
5983,901,814,9,11,12,2014-05-10 12:00:00
5984,901,2,129,6,2,2014-05-10 12:00:00
5985,901,816,8,3,3,2014-05-10 12:00:00
5986,901,821,2,77,4,2014-05-10 12:00:00
5987,901,153,205,8,5,2014-05-10 12:00:00
5988,901,0,129,44,1,2014-05-10 12:00:00
5989,901,3,5,14,7,2014-05-10 12:00:00
5990,901,17,0,22,8,2014-05-10 12:00:00
5991,901,12,2,19,9,2014-05-10 12:00:00
5992,901,19,8,1,10,2014-05-10 12:00:00
5993,901,7,5,7,6,2014-05-10 12:00:00
5994,902,827,204,9,22,2014-05-24 12:00:00
5995,902,154,204,10,21,2014-05-24 12:00:00
5996,902,819,203,4,20,2014-05-24 12:00:00
5997,902,823,203,17,19,2014-05-24 12:00:00
5998,902,15,14,99,18,2014-05-24 12:00:00
5999,902,812,205,13,15,2014-05-24 12:00:00
6000,902,820,14,21,17,2014-05-24 12:00:00
6001,902,12,2,19,16,2014-05-24 12:00:00
6002,902,153,205,8,14,2014-05-24 12:00:00
6003,902,824,0,20,8,2014-05-24 12:00:00
6004,902,17,0,22,12,2014-05-24 12:00:00
6005,902,0,129,44,2,2014-05-24 12:00:00
6006,902,2,129,6,1,2014-05-24 12:00:00
6007,902,816,8,3,3,2014-05-24 12:00:00
6008,902,19,8,1,4,2014-05-24 12:00:00
6009,902,3,5,14,5,2014-05-24 12:00:00
6010,902,821,2,77,13,2014-05-24 12:00:00
6011,902,817,4,25,7,2014-05-24 12:00:00
6012,902,825,4,26,9,2014-05-24 12:00:00
6013,902,7,5,7,6,2014-05-24 12:00:00
6014,902,814,9,11,10,2014-05-24 12:00:00
6015,902,807,9,27,11,2014-05-24 12:00:00
6016,903,820,14,21,22,2014-06-07 18:00:00
6017,903,827,204,9,21,2014-06-07 18:00:00
6018,903,154,204,10,20,2014-06-07 18:00:00
6019,903,823,203,17,19,2014-06-07 18:00:00
6020,903,819,203,4,18,2014-06-07 18:00:00
6021,903,812,205,13,17,2014-06-07 18:00:00
6022,903,825,4,26,15,2014-06-07 18:00:00
6023,903,153,205,8,14,2014-06-07 18:00:00
6024,903,814,9,11,13,2014-06-07 18:00:00
6025,903,15,14,99,16,2014-06-07 18:00:00
6026,903,807,9,27,11,2014-06-07 18:00:00
6027,903,2,129,6,1,2014-06-07 18:00:00
6028,903,824,0,20,12,2014-06-07 18:00:00
6029,903,19,8,1,3,2014-06-07 18:00:00
6030,903,821,2,77,4,2014-06-07 18:00:00
6031,903,12,2,19,5,2014-06-07 18:00:00
6032,903,0,129,44,2,2014-06-07 18:00:00
6033,903,3,5,14,7,2014-06-07 18:00:00
6034,903,817,4,25,8,2014-06-07 18:00:00
6035,903,17,0,22,9,2014-06-07 18:00:00
6036,903,7,5,7,10,2014-06-07 18:00:00
6037,903,816,8,3,6,2014-06-07 18:00:00
6038,904,817,4,25,15,2014-06-21 12:00:00
6039,904,827,204,9,22,2014-06-21 12:00:00
6040,904,819,203,4,21,2014-06-21 12:00:00
6041,904,154,204,10,20,2014-06-21 12:00:00
6042,904,823,203,17,19,2014-06-21 12:00:00
6043,904,820,14,21,18,2014-06-21 12:00:00
6044,904,15,14,99,17,2014-06-21 12:00:00
6045,904,153,205,8,16,2014-06-21 12:00:00
6046,904,812,205,13,14,2014-06-21 12:00:00
6047,904,816,8,3,5,2014-06-21 12:00:00
6048,904,17,0,22,12,2014-06-21 12:00:00
6049,904,19,8,1,13,2014-06-21 12:00:00
6050,904,2,129,6,3,2014-06-21 12:00:00
6051,904,3,5,14,4,2014-06-21 12:00:00
6052,904,824,0,20,6,2014-06-21 12:00:00
6053,904,12,2,19,1,2014-06-21 12:00:00
6054,904,7,5,7,8,2014-06-21 12:00:00
6055,904,0,129,44,9,2014-06-21 12:00:00
6056,904,807,9,27,10,2014-06-21 12:00:00
6057,904,814,9,11,11,2014-06-21 12:00:00
6058,904,825,4,26,7,2014-06-21 12:00:00
6059,904,821,2,77,2,2014-06-21 12:00:00
6060,905,820,14,21,14,2014-07-05 12:00:00
6061,905,154,204,10,22,2014-07-05 12:00:00
6062,905,827,204,9,21,2014-07-05 12:00:00
6063,905,7,5,7,20,2014-07-05 12:00:00
6064,905,3,5,14,19,2014-07-05 12:00:00
6065,905,12,2,19,18,2014-07-05 12:00:00
6066,905,821,2,77,17,2014-07-05 12:00:00
6067,905,15,14,99,16,2014-07-05 12:00:00
6068,905,812,205,13,15,2014-07-05 12:00:00
6069,905,819,203,4,13,2014-07-05 12:00:00
6070,905,153,205,8,11,2014-07-05 12:00:00
6071,905,2,129,6,1,2014-07-05 12:00:00
6072,905,19,8,1,2,2014-07-05 12:00:00
6073,905,17,0,22,3,2014-07-05 12:00:00
6074,905,807,9,27,4,2014-07-05 12:00:00
6075,905,824,0,20,5,2014-07-05 12:00:00
6076,905,823,203,17,12,2014-07-05 12:00:00
6077,905,814,9,11,7,2014-07-05 12:00:00
6078,905,816,8,3,8,2014-07-05 12:00:00
6079,905,825,4,26,9,2014-07-05 12:00:00
6080,905,817,4,25,10,2014-07-05 12:00:00
6081,905,0,129,44,6,2014-07-05 12:00:00
6082,906,153,205,8,15,2014-07-19 12:00:00
6083,906,827,204,9,22,2014-07-19 12:00:00
6084,906,819,203,4,21,2014-07-19 12:00:00
6085,906,154,204,10,20,2014-07-19 12:00:00
6086,906,812,205,13,19,2014-07-19 12:00:00
6087,906,823,203,17,18,2014-07-19 12:00:00
6088,906,15,14,99,17,2014-07-19 12:00:00
6089,906,0,129,44,16,2014-07-19 12:00:00
6090,906,820,14,21,14,2014-07-19 12:00:00
6091,906,817,4,25,13,2014-07-19 12:00:00
6092,906,7,5,7,12,2014-07-19 12:00:00
6093,906,2,129,6,1,2014-07-19 12:00:00
6094,906,12,2,19,3,2014-07-19 12:00:00
6095,906,824,0,20,4,2014-07-19 12:00:00
6096,906,816,8,3,5,2014-07-19 12:00:00
6097,906,19,8,1,6,2014-07-19 12:00:00
6098,906,821,2,77,2,2014-07-19 12:00:00
6099,906,825,4,26,8,2014-07-19 12:00:00
6100,906,807,9,27,9,2014-07-19 12:00:00
6101,906,814,9,11,10,2014-07-19 12:00:00
6102,906,17,0,22,11,2014-07-19 12:00:00
6103,906,3,5,14,7,2014-07-19 12:00:00
6104,907,153,205,8,15,2014-07-26 12:00:00
6105,907,812,205,13,22,2014-07-26 12:00:00
6106,907,0,129,44,21,2014-07-26 12:00:00
6107,907,827,204,9,20,2014-07-26 12:00:00
6108,907,819,203,4,19,2014-07-26 12:00:00
6109,907,154,204,10,18,2014-07-26 12:00:00
6110,907,7,5,7,17,2014-07-26 12:00:00
6111,907,823,203,17,16,2014-07-26 12:00:00
6112,907,820,14,21,14,2014-07-26 12:00:00
6113,907,19,8,1,2,2014-07-26 12:00:00
6114,907,15,14,99,12,2014-07-26 12:00:00
6115,907,814,9,11,13,2014-07-26 12:00:00
6116,907,821,2,77,3,2014-07-26 12:00:00
6117,907,816,8,3,4,2014-07-26 12:00:00
6118,907,3,5,14,5,2014-07-26 12:00:00
6119,907,12,2,19,6,2014-07-26 12:00:00
6120,907,2,129,6,1,2014-07-26 12:00:00
6121,907,817,4,25,8,2014-07-26 12:00:00
6122,907,807,9,27,9,2014-07-26 12:00:00
6123,907,824,0,20,10,2014-07-26 12:00:00
6124,907,825,4,26,11,2014-07-26 12:00:00
6125,907,17,0,22,7,2014-07-26 12:00:00
6126,908,15,14,99,14,2014-08-23 12:00:00
6127,908,827,204,9,22,2014-08-23 12:00:00
6128,908,820,14,21,20,2014-08-23 12:00:00
6129,908,819,203,4,19,2014-08-23 12:00:00
6130,908,807,9,27,18,2014-08-23 12:00:00
6131,908,812,205,13,17,2014-08-23 12:00:00
6132,908,823,203,17,16,2014-08-23 12:00:00
6133,908,153,205,8,15,2014-08-23 12:00:00
6134,908,814,9,11,13,2014-08-23 12:00:00
6135,908,826,204,45,21,2014-08-23 12:00:00
6136,908,825,4,26,11,2014-08-23 12:00:00
6137,908,0,129,44,2,2014-08-23 12:00:00
6138,908,3,5,14,4,2014-08-23 12:00:00
6139,908,2,129,6,1,2014-08-23 12:00:00
6140,908,816,8,3,5,2014-08-23 12:00:00
6141,908,817,4,25,12,2014-08-23 12:00:00
6142,908,824,0,20,7,2014-08-23 12:00:00
6143,908,7,5,7,8,2014-08-23 12:00:00
6144,908,12,2,19,9,2014-08-23 12:00:00
6145,908,17,0,22,10,2014-08-23 12:00:00
6146,908,821,2,77,6,2014-08-23 12:00:00
6147,908,19,8,1,3,2014-08-23 12:00:00
6148,909,807,9,27,14,2014-09-06 12:00:00
6149,909,827,204,9,22,2014-09-06 12:00:00
6150,909,819,203,4,21,2014-09-06 12:00:00
6151,909,823,203,17,20,2014-09-06 12:00:00
6152,909,154,204,10,19,2014-09-06 12:00:00
6153,909,153,205,8,18,2014-09-06 12:00:00
6154,909,812,205,13,17,2014-09-06 12:00:00
6155,909,820,14,21,16,2014-09-06 12:00:00
6156,909,15,14,99,15,2014-09-06 12:00:00
6157,909,817,4,25,13,2014-09-06 12:00:00
6158,909,825,4,26,11,2014-09-06 12:00:00
6159,909,0,129,44,1,2014-09-06 12:00:00
6160,909,7,5,7,12,2014-09-06 12:00:00
6161,909,821,2,77,3,2014-09-06 12:00:00
6162,909,12,2,19,4,2014-09-06 12:00:00
6163,909,824,0,20,5,2014-09-06 12:00:00
6164,909,2,129,6,2,2014-09-06 12:00:00
6165,909,3,5,14,7,2014-09-06 12:00:00
6166,909,19,8,1,8,2014-09-06 12:00:00
6167,909,816,8,3,9,2014-09-06 12:00:00
6168,909,814,9,11,10,2014-09-06 12:00:00
6169,909,17,0,22,6,2014-09-06 12:00:00
6170,910,814,9,11,15,2014-09-20 12:00:00
6171,910,827,204,9,22,2014-09-20 12:00:00
6172,910,819,203,4,21,2014-09-20 12:00:00
6173,910,154,204,10,20,2014-09-20 12:00:00
6174,910,823,203,17,19,2014-09-20 12:00:00
6175,910,812,205,13,18,2014-09-20 12:00:00
6176,910,15,14,99,17,2014-09-20 12:00:00
6177,910,153,205,8,16,2014-09-20 12:00:00
6178,910,820,14,21,14,2014-09-20 12:00:00
6179,910,807,9,27,13,2014-09-20 12:00:00
6180,910,817,4,25,12,2014-09-20 12:00:00
6181,910,0,129,44,1,2014-09-20 12:00:00
6182,910,816,8,3,3,2014-09-20 12:00:00
6183,910,19,8,1,4,2014-09-20 12:00:00
6184,910,3,5,14,5,2014-09-20 12:00:00
6185,910,12,2,19,6,2014-09-20 12:00:00
6186,910,2,129,6,2,2014-09-20 12:00:00
6187,910,821,2,77,8,2014-09-20 12:00:00
6188,910,824,0,20,9,2014-09-20 12:00:00
6189,910,825,4,26,10,2014-09-20 12:00:00
6190,910,17,0,22,11,2014-09-20 12:00:00
6191,910,7,5,7,7,2014-09-20 12:00:00
6192,911,15,14,99,15,2014-10-04 06:00:00
6193,911,819,203,4,22,2014-10-04 06:00:00
6194,911,154,204,10,21,2014-10-04 06:00:00
6195,911,823,203,17,20,2014-10-04 06:00:00
6196,911,827,204,9,19,2014-10-04 06:00:00
6197,911,153,205,8,18,2014-10-04 06:00:00
6198,911,812,205,13,17,2014-10-04 06:00:00
6199,911,820,14,21,16,2014-10-04 06:00:00
6200,911,807,9,27,14,2014-10-04 06:00:00
6201,911,817,4,25,11,2014-10-04 06:00:00
6202,911,814,9,11,12,2014-10-04 06:00:00
6203,911,825,4,26,13,2014-10-04 06:00:00
6204,911,0,129,44,2,2014-10-04 06:00:00
6205,911,12,2,19,4,2014-10-04 06:00:00
6206,911,3,5,14,5,2014-10-04 06:00:00
6207,911,816,8,3,6,2014-10-04 06:00:00
6208,911,821,2,77,3,2014-10-04 06:00:00
6209,911,17,0,22,8,2014-10-04 06:00:00
6210,911,19,8,1,9,2014-10-04 06:00:00
6211,911,7,5,7,10,2014-10-04 06:00:00
6212,911,2,129,6,1,2014-10-04 06:00:00
6213,911,824,0,20,7,2014-10-04 06:00:00
6214,912,819,203,4,21,2014-10-11 11:00:00
6215,912,812,205,13,20,2014-10-11 11:00:00
6216,912,154,204,10,19,2014-10-11 11:00:00
6217,912,12,2,19,18,2014-10-11 11:00:00
6218,912,827,204,9,17,2014-10-11 11:00:00
6219,912,153,205,8,16,2014-10-11 11:00:00
6220,912,15,14,99,15,2014-10-11 11:00:00
6221,912,820,14,21,14,2014-10-11 11:00:00
6222,912,814,9,11,13,2014-10-11 11:00:00
6223,912,19,8,1,11,2014-10-11 11:00:00
6224,912,817,4,25,10,2014-10-11 11:00:00
6225,912,0,129,44,1,2014-10-11 11:00:00
6226,912,807,9,27,12,2014-10-11 11:00:00
6227,912,821,2,77,3,2014-10-11 11:00:00
6228,912,17,0,22,4,2014-10-11 11:00:00
6229,912,2,129,6,2,2014-10-11 11:00:00
6230,912,824,0,20,6,2014-10-11 11:00:00
6231,912,816,8,3,7,2014-10-11 11:00:00
6232,912,3,5,14,8,2014-10-11 11:00:00
6233,912,7,5,7,9,2014-10-11 11:00:00
6234,912,825,4,26,5,2014-10-11 11:00:00
6235,913,807,9,27,13,2014-11-01 20:00:00
6236,913,153,205,8,18,2014-11-01 20:00:00
6237,913,19,8,1,17,2014-11-01 20:00:00
6238,913,820,14,21,16,2014-11-01 20:00:00
6239,913,817,4,25,15,2014-11-01 20:00:00
6240,913,825,4,26,14,2014-11-01 20:00:00
6241,913,814,9,11,12,2014-11-01 20:00:00
6242,913,816,8,3,5,2014-11-01 20:00:00
6243,913,15,14,99,10,2014-11-01 20:00:00
6244,913,821,2,77,3,2014-11-01 20:00:00
6245,913,0,129,44,2,2014-11-01 20:00:00
6246,913,12,2,19,4,2014-11-01 20:00:00
6247,913,2,129,6,1,2014-11-01 20:00:00
6248,913,812,205,13,11,2014-11-01 20:00:00
6249,913,17,0,22,7,2014-11-01 20:00:00
6250,913,7,5,7,9,2014-11-01 20:00:00
6251,913,824,0,20,8,2014-11-01 20:00:00
6252,913,3,5,14,6,2014-11-01 20:00:00
6253,914,812,205,13,18,2014-11-08 16:00:00
6254,914,814,9,11,17,2014-11-08 16:00:00
6255,914,817,4,25,16,2014-11-08 16:00:00
6256,914,153,205,8,15,2014-11-08 16:00:00
6257,914,15,14,99,13,2014-11-08 16:00:00
6258,914,807,9,27,12,2014-11-08 16:00:00
6259,914,825,4,26,14,2014-11-08 16:00:00
6260,914,0,129,44,2,2014-11-08 16:00:00
6261,914,2,129,6,1,2014-11-08 16:00:00
6262,914,7,5,7,10,2014-11-08 16:00:00
6263,914,12,2,19,3,2014-11-08 16:00:00
6264,914,821,2,77,4,2014-11-08 16:00:00
6265,914,820,14,21,11,2014-11-08 16:00:00
6266,914,19,8,1,6,2014-11-08 16:00:00
6267,914,824,0,20,7,2014-11-08 16:00:00
6268,914,3,5,14,8,2014-11-08 16:00:00
6269,914,816,8,3,9,2014-11-08 16:00:00
6270,914,17,0,22,5,2014-11-08 16:00:00
6271,915,828,204,46,18,2014-11-22 13:00:00
6272,915,154,204,10,17,2014-11-22 13:00:00
6273,915,812,205,13,16,2014-11-22 13:00:00
6274,915,2,129,6,1,2014-11-22 13:00:00
6275,915,0,129,44,2,2014-11-22 13:00:00
6276,915,821,2,77,3,2014-11-22 13:00:00
6277,915,12,2,19,4,2014-11-22 13:00:00
6278,915,825,4,26,5,2014-11-22 13:00:00
6279,915,7,5,7,7,2014-11-22 13:00:00
6280,915,820,14,21,15,2014-11-22 13:00:00
6281,915,15,14,99,13,2014-11-22 13:00:00
6282,915,807,9,27,12,2014-11-22 13:00:00
6283,915,153,205,8,14,2014-11-22 13:00:00
6284,915,817,4,25,10,2014-11-22 13:00:00
6285,915,824,0,20,9,2014-11-22 13:00:00
6286,915,3,5,14,8,2014-11-22 13:00:00
6287,915,814,9,11,11,2014-11-22 13:00:00
6288,915,17,0,22,6,2014-11-22 13:00:00
6289,916,829,4,33,12,2015-03-14 05:00:00
6290,916,824,0,20,18,2015-03-14 05:00:00
6291,916,17,0,22,17,2015-03-14 05:00:00
6292,916,827,14,9,16,2015-03-14 05:00:00
6293,916,814,9,11,15,2015-03-14 05:00:00
6294,916,807,9,27,14,2015-03-14 05:00:00
6295,916,825,8,26,13,2015-03-14 05:00:00
6296,916,830,14,12,11,2015-03-14 05:00:00
6297,916,153,205,8,9,2015-03-14 05:00:00
6298,916,812,205,13,10,2015-03-14 05:00:00
6299,916,2,129,6,2,2015-03-14 05:00:00
6300,916,12,2,19,3,2015-03-14 05:00:00
6301,916,19,5,5,4,2015-03-14 05:00:00
6302,916,0,129,44,1,2015-03-14 05:00:00
6303,916,821,2,77,6,2015-03-14 05:00:00
6304,916,816,8,3,7,2015-03-14 05:00:00
6305,916,831,4,55,8,2015-03-14 05:00:00
6306,916,7,5,7,5,2015-03-14 05:00:00
6307,917,807,9,27,13,2015-03-28 07:00:00
6308,917,832,206,98,19,2015-03-28 07:00:00
6309,917,3,0,14,18,2015-03-28 07:00:00
6310,917,17,0,22,17,2015-03-28 07:00:00
6311,917,830,14,12,16,2015-03-28 07:00:00
6312,917,831,4,55,15,2015-03-28 07:00:00
6313,917,814,9,11,14,2015-03-28 07:00:00
6314,917,812,205,13,12,2015-03-28 07:00:00
6315,917,0,129,44,1,2015-03-28 07:00:00
6316,917,827,14,9,10,2015-03-28 07:00:00
6317,917,2,129,6,3,2015-03-28 07:00:00
6318,917,19,5,5,2,2015-03-28 07:00:00
6319,917,816,8,3,4,2015-03-28 07:00:00
6320,917,825,8,26,5,2015-03-28 07:00:00
6321,917,7,5,7,11,2015-03-28 07:00:00
6322,917,12,2,19,7,2015-03-28 07:00:00
6323,917,153,205,8,8,2015-03-28 07:00:00
6324,917,821,2,77,9,2015-03-28 07:00:00
6325,917,829,4,33,6,2015-03-28 07:00:00
6326,918,831,4,55,14,2015-04-11 06:00:00
6327,918,832,206,98,20,2015-04-11 06:00:00
6328,918,828,206,28,19,2015-04-11 06:00:00
6329,918,3,0,14,18,2015-04-11 06:00:00
6330,918,17,0,22,17,2015-04-11 06:00:00
6331,918,807,9,27,16,2015-04-11 06:00:00
6332,918,814,9,11,15,2015-04-11 06:00:00
6333,918,829,4,33,13,2015-04-11 06:00:00
6334,918,825,8,26,12,2015-04-11 06:00:00
6335,918,812,205,13,11,2015-04-11 06:00:00
6336,918,0,129,44,1,2015-04-11 06:00:00
6337,918,2,129,6,2,2015-04-11 06:00:00
6338,918,12,2,19,4,2015-04-11 06:00:00
6339,918,821,2,77,5,2015-04-11 06:00:00
6340,918,19,5,5,3,2015-04-11 06:00:00
6341,918,816,8,3,7,2015-04-11 06:00:00
6342,918,153,205,8,8,2015-04-11 06:00:00
6343,918,830,14,12,9,2015-04-11 06:00:00
6344,918,827,14,9,10,2015-04-11 06:00:00
6345,918,7,5,7,6,2015-04-11 06:00:00
6346,919,3,0,14,14,2015-04-18 15:00:00
6347,919,832,206,98,19,2015-04-18 15:00:00
6348,919,828,206,28,18,2015-04-18 15:00:00
6349,919,825,8,26,17,2015-04-18 15:00:00
6350,919,812,205,13,16,2015-04-18 15:00:00
6351,919,829,4,33,15,2015-04-18 15:00:00
6352,919,827,14,9,13,2015-04-18 15:00:00
6353,919,830,14,12,12,2015-04-18 15:00:00
6354,919,19,5,5,2,2015-04-18 15:00:00
6355,919,2,129,6,3,2015-04-18 15:00:00
6356,919,0,129,44,1,2015-04-18 15:00:00
6357,919,7,5,7,4,2015-04-18 15:00:00
6358,919,821,2,77,5,2015-04-18 15:00:00
6359,919,814,9,11,11,2015-04-18 15:00:00
6360,919,816,8,3,7,2015-04-18 15:00:00
6361,919,807,9,27,8,2015-04-18 15:00:00
6362,919,831,4,55,9,2015-04-18 15:00:00
6363,919,153,205,8,10,2015-04-18 15:00:00
6364,919,12,2,19,6,2015-04-18 15:00:00
6365,920,3,0,14,13,2015-05-09 12:00:00
6366,920,832,206,98,20,2015-05-09 12:00:00
6367,920,828,206,28,19,2015-05-09 12:00:00
6368,920,814,9,11,18,2015-05-09 12:00:00
6369,920,807,9,27,17,2015-05-09 12:00:00
6370,920,827,14,9,16,2015-05-09 12:00:00
6371,920,830,14,12,15,2015-05-09 12:00:00
6372,920,17,0,22,14,2015-05-09 12:00:00
6373,920,812,205,13,12,2015-05-09 12:00:00
6374,920,12,2,19,9,2015-05-09 12:00:00
6375,920,816,8,3,10,2015-05-09 12:00:00
6376,920,825,8,26,8,2015-05-09 12:00:00
6377,920,7,5,7,7,2015-05-09 12:00:00
6378,920,829,4,33,6,2015-05-09 12:00:00
6379,920,831,4,55,5,2015-05-09 12:00:00
6380,920,821,2,77,4,2015-05-09 12:00:00
6381,920,19,5,5,3,2015-05-09 12:00:00
6382,920,0,129,44,2,2015-05-09 12:00:00
6383,920,2,129,6,1,2015-05-09 12:00:00
6384,920,153,205,8,11,2015-05-09 12:00:00
6385,921,830,14,12,16,2015-05-23 12:00:00
6386,921,3,0,14,15,2015-05-23 12:00:00
6387,921,821,2,77,17,2015-05-23 12:00:00
6388,921,12,2,19,14,2015-05-23 12:00:00
6389,921,828,206,28,19,2015-05-23 12:00:00
6390,921,832,206,98,20,2015-05-23 12:00:00
6391,921,827,14,9,18,2015-05-23 12:00:00
6392,921,807,9,27,13,2015-05-23 12:00:00
6393,921,2,129,6,2,2015-05-23 12:00:00
6394,921,153,205,8,11,2015-05-23 12:00:00
6395,921,0,129,44,1,2015-05-23 12:00:00
6396,921,19,5,5,3,2015-05-23 12:00:00
6397,921,816,8,3,4,2015-05-23 12:00:00
6398,921,825,8,26,5,2015-05-23 12:00:00
6399,921,17,0,22,12,2015-05-23 12:00:00
6400,921,814,9,11,7,2015-05-23 12:00:00
6401,921,831,4,55,8,2015-05-23 12:00:00
6402,921,812,205,13,9,2015-05-23 12:00:00
6403,921,829,4,33,10,2015-05-23 12:00:00
6404,921,7,5,7,6,2015-05-23 12:00:00
6405,922,827,14,9,13,2015-06-06 18:00:00
6406,922,828,206,28,19,2015-06-06 18:00:00
6407,922,832,206,98,18,2015-06-06 18:00:00
6408,922,12,2,19,17,2015-06-06 18:00:00
6409,922,19,5,5,16,2015-06-06 18:00:00
6410,922,830,14,12,15,2015-06-06 18:00:00
6411,922,3,0,14,14,2015-06-06 18:00:00
6412,922,829,4,33,12,2015-06-06 18:00:00
6413,922,831,4,55,11,2015-06-06 18:00:00
6414,922,814,9,11,10,2015-06-06 18:00:00
6415,922,0,129,44,1,2015-06-06 18:00:00
6416,922,7,5,7,3,2015-06-06 18:00:00
6417,922,821,2,77,4,2015-06-06 18:00:00
6418,922,153,205,8,5,2015-06-06 18:00:00
6419,922,2,129,6,2,2015-06-06 18:00:00
